thumb_mcp,thump_pip,index_mcp,index_pip,middle_mcp,middle_pip,ring_mcp,ring_pip,pinky_mcp,pinky_pip
90,0,90,0,90,0,90,0,90,0
90,3,90,3,90,3,90,3,90,3
90,6,90,6,90,6,90,6,90,6
90,9,90,9,90,9,90,9,90,9
90,12,90,12,90,12,90,12,90,12
90,15,90,15,90,15,90,15,90,15
90,18,90,18,90,18,90,18,90,18
90,21,90,21,90,21,90,21,90,21
90,24,90,24,90,24,90,24,90,24
90,27,90,27,90,27,90,27,90,27
90,30,90,30,90,30,90,30,90,30
90,33,90,33,90,33,90,33,90,33
90,36,90,36,90,36,90,36,90,36
90,39,90,39,90,39,90,39,90,39
90,42,90,42,90,42,90,42,90,42
90,45,90,45,90,45,90,45,90,45
90,48,90,48,90,48,90,48,90,48
90,51,90,51,90,51,90,51,90,51
90,54,90,54,90,54,90,54,90,54
90,57,90,57,90,57,90,57,90,57
90,60,90,60,90,60,90,60,90,60
90,63,90,63,90,63,90,63,90,63
90,66,90,66,90,66,90,66,90,66
90,69,90,69,90,69,90,69,90,69
90,72,90,72,90,72,90,72,90,72
90,75,90,75,90,75,90,75,90,75
90,78,90,78,90,78,90,78,90,78
90,81,90,81,90,81,90,81,90,81
90,84,90,84,90,84,90,84,90,84
90,87,90,87,90,87,90,87,90,87
90,90,90,90,90,90,90,90,90,90
90,87,90,87,90,87,90,87,90,87
90,84,90,84,90,84,90,84,90,84
90,81,90,81,90,81,90,81,90,81
90,78,90,78,90,78,90,78,90,78
90,75,90,75,90,75,90,75,90,75
90,72,90,72,90,72,90,72,90,72
90,69,90,69,90,69,90,69,90,69
90,66,90,66,90,66,90,66,90,66
90,63,90,63,90,63,90,63,90,63
90,60,90,60,90,60,90,60,90,60
90,57,90,57,90,57,90,57,90,57
90,54,90,54,90,54,90,54,90,54
90,51,90,51,90,51,90,51,90,51
90,48,90,48,90,48,90,48,90,48
90,45,90,45,90,45,90,45,90,45
90,42,90,42,90,42,90,42,90,42
90,39,90,39,90,39,90,39,90,39
90,36,90,36,90,36,90,36,90,36
90,33,90,33,90,33,90,33,90,33
90,30,90,30,90,30,90,30,90,30
90,27,90,27,90,27,90,27,90,27
90,24,90,24,90,24,90,24,90,24
90,21,90,21,90,21,90,21,90,21
90,18,90,18,90,18,90,18,90,18
90,15,90,15,90,15,90,15,90,15
90,12,90,12,90,12,90,12,90,12
90,9,90,9,90,9,90,9,90,9
90,6,90,6,90,6,90,6,90,6
90,3,90,3,90,3,90,3,90,3
90,0,90,0,90,0,90,0,90,0
